Filename,No,mean(exx),stdev(exx),mean(eyy),stdev(eyy),mean(exy),stdev(exy)
BY60M-2_page_0177.out,177,-0.0258096,0.0120737,0.0810567,0.0408127,0.000124172,0.00211479
BY60M-2_page_0178.out,178,-0.025952,0.0122952,0.0816381,0.0417565,0.000151202,0.00216153
BY60M-2_page_0179.out,179,-0.0261038,0.0124964,0.0822031,0.042701,0.000175653,0.00219329
BY60M-2_page_0180.out,180,-0.0262496,0.0127236,0.0827893,0.0436808,0.000211803,0.00223249
BY60M-2_page_0181.out,181,-0.0263988,0.0129328,0.0833576,0.0446657,0.00022851,0.00227782
BY60M-2_page_0182.out,182,-0.0265323,0.0131334,0.0839305,0.0456647,0.000262218,0.00233151
BY60M-2_page_0183.out,183,-0.0266736,0.0133396,0.0845024,0.0466942,0.000292003,0.00239185
BY60M-2_page_0184.out,184,-0.0268313,0.0135567,0.0850759,0.0477213,0.000317906,0.00244242
BY60M-2_page_0185.out,185,-0.026968,0.0137629,0.085661,0.0487695,0.000363858,0.00250973
BY60M-2_page_0186.out,186,-0.0270973,0.0139552,0.086213,0.0497729,0.000404419,0.00257512
BY60M-2_page_0187.out,187,-0.0272219,0.0141401,0.0867578,0.0507864,0.000440494,0.00264559
BY60M-2_page_0188.out,188,-0.0273536,0.014315,0.0872886,0.0517945,0.00048043,0.00272912
BY60M-2_page_0189.out,189,-0.0274663,0.014508,0.087827,0.0527889,0.000517427,0.00280534
BY60M-2_page_0190.out,190,-0.0275934,0.0146878,0.0883549,0.0537834,0.000561653,0.0028911
BY60M-2_page_0191.out,191,-0.0277137,0.0148604,0.0888971,0.0547672,0.0006025,0.00297436
BY60M-2_page_0192.out,192,-0.0278285,0.0150333,0.0894299,0.055774,0.000653063,0.00307616
BY60M-2_page_0193.out,193,-0.0279261,0.0151935,0.0899384,0.0567703,0.000692466,0.00317429
BY60M-2_page_0194.out,194,-0.0280347,0.0153397,0.0904608,0.0577613,0.000741309,0.00327293
BY60M-2_page_0195.out,195,-0.0281332,0.0155126,0.0909769,0.0587489,0.000782618,0.00337046
BY60M-2_page_0196.out,196,-0.0282459,0.0156864,0.0914865,0.0597461,0.000830341,0.00347286
BY60M-2_page_0197.out,197,-0.0283543,0.0158446,0.092011,0.0607842,0.000876188,0.0035898
BY60M-2_page_0198.out,198,-0.0284609,0.0160008,0.0925483,0.0618047,0.000920876,0.00369109
BY60M-2_page_0199.out,199,-0.0285637,0.0161538,0.0930773,0.0628445,0.000980537,0.00380923
BY60M-2_page_0200.out,200,-0.0286591,0.0163242,0.0936148,0.0639284,0.0010264,0.00392838
BY60M-2_page_0201.out,201,-0.0287458,0.0164813,0.094152,0.0650235,0.00107975,0.00406403
BY60M-2_page_0202.out,202,-0.02885,0.0166315,0.0946869,0.0660959,0.00114013,0.0041965
BY60M-2_page_0203.out,203,-0.0289586,0.0167875,0.0952211,0.0671877,0.00119132,0.00433881
BY60M-2_page_0204.out,204,-0.0290543,0.0169289,0.0957394,0.0682363,0.00125283,0.00447322
BY60M-2_page_0205.out,205,-0.0291498,0.0170705,0.0962447,0.069253,0.00130577,0.0046166
BY60M-2_page_0206.out,206,-0.0292301,0.0172009,0.096723,0.0702478,0.0013614,0.00474217
BY60M-2_page_0207.out,207,-0.0293093,0.0173246,0.0971866,0.071228,0.00141409,0.00489605
BY60M-2_page_0208.out,208,-0.0293858,0.0174527,0.0976614,0.0721845,0.00147099,0.00503168
BY60M-2_page_0209.out,209,-0.029471,0.0175711,0.0980987,0.0731267,0.00152144,0.00516001
BY60M-2_page_0210.out,210,-0.029533,0.0176863,0.0985509,0.0740454,0.00158478,0.00529681
BY60M-2_page_0211.out,211,-0.0295982,0.0177929,0.0989572,0.0749287,0.00163826,0.00542394
BY60M-2_page_0212.out,212,-0.0296499,0.0178806,0.0993537,0.07577,0.00169172,0.00555682
BY60M-2_page_0213.out,213,-0.0297026,0.0179888,0.0997361,0.0765785,0.00173802,0.00567637
BY60M-2_page_0214.out,214,-0.029768,0.0180719,0.100131,0.0773836,0.00178446,0.00580839
BY60M-2_page_0215.out,215,-0.029826,0.0181766,0.100505,0.0782006,0.00182196,0.00590816
