General : Start Date,3/28/2019 12:57 PM,
Custom choice input : Operator,Ping,
Text Inputs : Specimen label,w20s1.2n1,
Custom choice input : Material,Polypropylene,
Dimension : Length,200,mm
Dimension : Thickness,5.3,mm
Dimension : Width,20.3,mm
Dimension : Area,1.0759,cm^2
,,
Time,Extension,Load
(sec),(mm),(N)
83.4852,2.75085,40.58063
83.5852,2.75444,40.63294
83.6852,2.75743,40.68195
83.7852,2.76078,40.73209
83.8852,2.76438,40.78373
83.9852,2.76748,40.82816
84.0852,2.77076,40.8739
84.1852,2.77437,40.92905
84.2852,2.77753,40.97779
84.3852,2.78073,41.02538
84.4852,2.78427,41.07755
84.5852,2.78751,41.12563
84.6852,2.79067,41.1748
84.7852,2.79426,41.22848
84.8852,2.79762,41.2816
84.9852,2.80071,41.32731
85.0852,2.80423,41.37515
85.1852,2.80762,41.42712
85.2852,2.81068,41.47197
85.3852,2.81419,41.52741
85.4852,2.81773,41.57747
85.5852,2.82072,41.61901
85.6852,2.82418,41.67097
85.7852,2.8277,41.72427
85.8852,2.83068,41.76688
85.9852,2.83409,41.81937
86.0852,2.8377,41.87469
86.1852,2.84073,41.91938
86.2852,2.84408,41.9682
86.3852,2.84771,42.02043
86.4852,2.85078,42.06681
86.5852,2.85402,42.11612
86.6852,2.85765,42.1657
86.7852,2.86082,42.21343
86.8852,2.86401,42.26247
86.9852,2.86763,42.31295
87.0852,2.87093,42.36625
87.1852,2.87401,42.41161
87.2852,2.87757,42.46464
87.3852,2.88096,42.5164
87.4852,2.88399,42.55878
87.5852,2.88754,42.61094
87.6852,2.89099,42.66163
87.7852,2.89397,42.69448
87.8852,2.8975,42.74474
