General : Start Date,3/28/2019 12:57 PM
Custom choice input : Operator,Ping
Text Inputs : Specimen label,"w20s1.2n1"
Custom choice input : Material,Polypropylene
Dimension : Length,200.00000,mm
Dimension : Thickness,5.30000,mm
Dimension : Width,20.30000,mm
Dimension : Area,1.07590,cm^2

Time,Extension,Load
(sec),(mm),(N)
64.48520,2.11769,32.14562
64.58520,2.12073,32.18563
64.68520,2.12417,32.23274
64.78520,2.12776,32.28633
64.88520,2.13076,32.33062
64.98520,2.13414,32.38007
65.08520,2.13768,32.43491
65.18520,2.14078,32.47977
65.28520,2.14407,32.52887
65.38520,2.14769,32.58003
65.48520,2.15088,32.62348
65.58520,2.15413,32.67372
65.68520,2.15769,32.72444
65.78520,2.16091,32.76993
65.88520,2.16404,32.81337
65.98520,2.16760,32.86426
66.08520,2.17095,32.91345
66.18520,2.17405,32.96141
66.28520,2.17760,33.01582
66.38520,2.18100,33.06601
66.48520,2.18401,33.10822
66.58520,2.18750,33.15880
66.68520,2.19100,33.21160
66.78520,2.19404,33.25408
66.88520,2.19750,33.30680
66.98520,2.20108,33.35781
67.08520,2.20409,33.39654
67.18520,2.20747,33.44772
67.28520,2.21108,33.49880
67.38520,2.21412,33.54752
67.48520,2.21743,33.59706
67.58520,2.22106,33.65033
67.68520,2.22417,33.69550
67.78520,2.22743,33.73982
67.88520,2.23103,33.79231
67.98520,2.23421,33.83860
68.08520,2.23736,33.88606
68.18520,2.24094,33.93608
68.28520,2.24425,33.98242
68.38520,2.24734,34.02654
68.48520,2.25094,34.07778
68.58520,2.25433,34.13462
68.68520,2.25736,34.17873
68.78520,2.26091,34.22663
68.88520,2.26440,34.28024
68.98520,2.26737,34.31981
69.08520,2.27085,34.37094
69.18520,2.27443,34.42225
69.28520,2.27740,34.46382
69.38520,2.28080,34.51566
69.48520,2.28442,34.56835
69.58520,2.28744,34.61045
69.68520,2.29075,34.65952
69.78520,2.29437,34.71197
69.88520,2.29748,34.75990
69.98520,2.30072,34.80741
70.08520,2.30437,34.85890
70.18520,2.30753,34.90842
70.28520,2.31074,34.95137
70.38520,2.31433,35.00307
